replicate,mae_top1_1400,mae_uniform14_eq1400,mae_weighted14_eq1400,delta_weighted_minus_uniform,delta_weighted_minus_top1
246,0.03414671814671816,0.054620334620334596,0.04290627623213177,-0.011714058388202823,0.008759558085413614
247,0.025227799227799247,0.036718146718146716,0.029543327264030785,-0.007174819454115931,0.004315528036231538
248,0.023272844272844286,0.07286615186615188,0.05947574408462602,-0.013390407781525858,0.036202899811781736
249,0.03195881595881598,0.03860360360360361,0.03009546516005031,-0.0085081384435533,-0.001863350798765668
250,0.02703217503217505,0.06026898326898329,0.04954419483100484,-0.010724788437978451,0.02251201979882979
251,0.031301158301158316,0.05637837837837842,0.04508697175276006,-0.01129140662561836,0.013785813451601743
252,0.034142857142857155,0.06002187902187903,0.047533760949339816,-0.01248811807253921,0.013390903806482661
253,0.026952380952380967,0.06787516087516089,0.056387861668184644,-0.011487299206976248,0.029435480715803677
254,0.02727155727155729,0.053325611325611325,0.04197539949766269,-0.011350211827948632,0.014703842226105403
255,0.026940797940797956,0.04990733590733591,0.04328273214672895,-0.006624603760606959,0.016341934205930997
256,0.030514800514800537,0.07415444015444014,0.06475948159153012,-0.009394958562910019,0.03424468107672959
257,0.037120978120978136,0.045236808236808264,0.03517405521495369,-0.010062753021854574,-0.0019469229060244467
258,0.03074903474903477,0.08281981981981985,0.0740330986734303,-0.00878672114638955,0.04328406392439553
259,0.031160875160875172,0.05750193050193049,0.04593655592232582,-0.011565374579604673,0.014775680761450645
260,0.03374259974259976,0.0701544401544402,0.05690513873710264,-0.013249301417337558,0.02316253899450288
261,0.030630630630630644,0.05433848133848135,0.041986811092737865,-0.012351670245743483,0.011356180462107221
262,0.03119562419562421,0.06794980694980693,0.05648706377749086,-0.011462743172316069,0.02529143958186665
263,0.03492535392535394,0.059010296010296004,0.047924668162361156,-0.011085627847934848,0.012999314237007217
264,0.032628056628056644,0.07501287001287003,0.06381235354849538,-0.011200516464374657,0.031184296920438732
265,0.02733848133848136,0.08148777348777352,0.07285883282509821,-0.008628940662675305,0.04552035148661685
266,0.02326126126126128,0.06960102960102961,0.057848422456719846,-0.011752607144309764,0.03458716119545857
267,0.027020592020592038,0.051028314028314065,0.03864015362747109,-0.012388160400842972,0.011619561606879054
268,0.025214929214929235,0.06965637065637068,0.057814198711226804,-0.011842171945143871,0.03259926949629757
269,0.03145817245817247,0.07080051480051482,0.0576905860739557,-0.013109928726559118,0.026232413615783226
270,0.032056628056628074,0.06515572715572716,0.05488511044871775,-0.010270616707009413,0.022828482392089677
271,0.028715572715572735,0.05394208494208497,0.04847729924743397,-0.005464785694650996,0.019761726531861236
272,0.0341788931788932,0.054521235521235556,0.04113486222496273,-0.013386373296272826,0.0069559690460695295
273,0.03125740025740027,0.05819047619047621,0.048301585703755624,-0.009888890486720585,0.017044185446355352
274,0.03439897039897041,0.05367567567567563,0.04338601928296373,-0.010289656392711906,0.008987048883993314
